capability,matching_tables,sample_tables,evidence_level
airworthiness-fleet,323,api.FleetKeeperSessions|api.FleetMonitorSessions|dbo.aContractAircraftType|dbo.aContractsAircraftType|dbo.aFixedAssetRegister|dbo.aFixedAssetRegisterLinkHistory|dbo.aWarrantyTermLifeCode|dbo.lEmployeeHistoricalJourneyTime|dbo.lEmployeePreferedJourneyPairing|dbo.lEmployeeRangeJourneyType|dbo.lPositioningJourney|dbo.lPositioningJourneyCrew|dbo.lmScheduleFlightDefect|dbo.oDispatchRequirementJourney|dbo.oDispatchRequirementJourneyLog,schema-name-signal
maintenance-execution,353,api.ApiExportJobAuditLog|api.DataTransferSourceTasks|api.ExportWorkOrderTaskJobItemStatuses|api.ExportWorkOrderTaskJobItems|api.ExportWorkOrderTaskJobStatuses|api.ExportWorkOrderTaskJobs|api.RecurringJob|api.WorkOrderTaskDiscoveries|api.WorkOrderTaskInteractionUserAnnotations|api.WorkOrderTaskInteractionZoneFeedbackControls|api.WorkOrderTaskInteractionZoneUserFeedbacks|api.WorkOrderTaskInteractionZones|api.WorkOrderTaskInteractions|cmro.iOracleShopVisitOrderTask|dbo.SSISTaskErrorLog,schema-name-signal
materials-inventory,456,dbo.aAccountApprovalOrderPartTypeLink|dbo.aAccountApprovalPartClassificationLink|dbo.aAccountStockOwnership|dbo.aAnalysisDepartment|dbo.aCompanyDepartment|dbo.aContractBaseParts|dbo.aContractBaseTools|dbo.aContractCustomerPart|dbo.aContractLinePart|dbo.aContractLinePartLog|dbo.aContractPart|dbo.aContractPricingCapPart|dbo.aContractPricingCapTool|dbo.aContractStockOwnership|dbo.aContractTool,schema-name-signal
procurement-commercial,224,dbo.aAccountCustomerType|dbo.aAccountWarranty|dbo.aAccountWarrantyLife|dbo.aBaseContractSalesGroupPrice|dbo.aContract|dbo.aContractAccountCode|dbo.aContractAircraftType|dbo.aContractAsset|dbo.aContractBase|dbo.aContractBaseLabour|dbo.aContractBaseMaintenancePriceType|dbo.aContractBaseParts|dbo.aContractBaseService|dbo.aContractBaseTools|dbo.aContractCardGroup,schema-name-signal
people-training,241,dbo.aContractBaseLabour|dbo.aContractLabour|dbo.aContractPricingCapLabour|dbo.aContractsLabour|dbo.lClassCourse|dbo.lCourse|dbo.lCourseCertificateRange|dbo.lCourseCertificateRangeCertificateNo|dbo.lCourseCertificateRangeDocument|dbo.lCourseExam|dbo.lCourseExamPaper|dbo.lCourseExamPaperTopicQuestion|dbo.lCourseExamPaperTopicQuestionAnswer|dbo.lCourseMission|dbo.lCourseResult,schema-name-signal
quality-safety,155,api.ApiExportJobAuditLog|dbo.aAccountQualityApproval|dbo.qAssessmentRangeAuditType|dbo.qAssessmentRangeRiskSeverity|dbo.qAssessmentRangeSafetySeverity|dbo.qAssessmentRangeSafetyType|dbo.qAssessmentRangeSafetyTypeCategory|dbo.qAudit|dbo.qAuditAction|dbo.qAuditActionDocument|dbo.qAuditActionLog|dbo.qAuditActionRemarks|dbo.qAuditActionTarget|dbo.qAuditActionType|dbo.qAuditActionTypeNCSeverity,schema-name-signal
flight-operations,144,api.FlightCompletionStatuses|dbo.ENVFlightLogsInterface_Import|dbo.aAccountFlightRequirement|dbo.aHotel|dbo.fFlightGate|dbo.fFlightLine|dbo.fFlightLineJournal|dbo.fFlightTeam|dbo.fFlightWorkOrder|dbo.fTurnaroundFlight|dbo.lCourseMission|dbo.lCrewStatus|dbo.lDutyCode|dbo.lEmployeeCrewHours|dbo.lEmployeeModelCrewPositionDefault,schema-name-signal
integration-reporting,391,api.ApiExportJobAuditLog|api.ExportWorkOrderTaskJobItemStatuses|api.ExportWorkOrderTaskJobItems|api.ExportWorkOrderTaskJobStatuses|api.ExportWorkOrderTaskJobs|api.ImportRemoteObjectDetail|api.InterfaceKeys|api.__ApiMigrationsHistory|cmro.iOracleCMROInterface|cmro.viOracleCMROInterfaceTable|dbo.ENVFlightLogsInterface_Import|dbo.SSISExportLog|dbo.SSISImportLog|dbo.aCompanyDocumentExport|dbo.aJournalExportFile,schema-name-signal
